x
Cottus rhotheus
Plectobranchus evides
Bothragonus swanii
Synchirus gilli
Agonopsis vulsa
Sebastes entomelas
Sebastes serranoides
Venefica tentaculata
Limanda aspera
Rhinoliparis attenuatus
Lipariscus nanus
Sebastes nebulosus
Lepidopsetta polyxystra
Lycodes brevipes
Oxylebius pictus
Micropogonias furnieri
Thunnus orientalis
Careproctus attenuatus
Bassozetus zenkevitchi
Pachycara gymninium
Synaphobranchus brevidorsalis
Notacanthus chemnitzii
Ammodytes sp.
Cyclothone signata
Lampadena urophaos
Anoplogaster cornuta
Oreochromis sp.
Ascelichthys rhodorus
Morone chrysops
Brama japonica
Bassozetus cf. levistomatus
Careproctus georgianus
Lycodapus leptus
Bathyagonus alascanus
Rhamphocottus richardsonii
Amphistichus rhodoterus
Scomber scombrus
Acantholiparis opercularis
Damalichthys vacca
Salvelinus alpinus
Lepidocybium flavobrunneum
Halargyreus johnsonii
Acipenser fulvescens
Acipenser medirostris
Ameiurus natalis
Ameiurus nebulosus
Carassius auratus
Carassius langsdorfii
Carpiodes cyprinus
Catostomus columbianus
Chrosomus eos
Chrosomus neogaeus
Clinocottus acuticeps
Coregonus artedi
Coregonus autumnalis
Coregonus nasus
Coregonus zenithicus
Cottus cognatus
Cottus confusus
Cyprinus carpio
Entosphenus macrostoma
Entosphenus tridentatus
Esox lucius
Etheostoma exile
Gambusia affinis
Hiodon alosoides
Hiodon tergisus
Lampetra ayresii
Lampetra richardsoni
Lepomis gibbosus
Lepomis macrochirus
Lethenteron camtschaticum
Mallotus villosus
Margariscus margarita
Margariscus nachtriebi
Misgurnus anguillicaudatus
Micropterus dolomieu
Micropterus salmoides
Morone saxatilis
Moxostoma anisurum
Moxostoma macrolepidotum
Myoxocephalus thompsonii
Notropis atherinoides
Notropis blennius
Notropis hudsonius
Noturus flavus
Oncorhynchus aguabonita
Osmerus dentex
Percina caprodes
Pimephales promelas
Poecilia latipinna
Pomoxis nigromaculatus
Rubricatochromis bimaculatus
Salvelinus confluentus
Salvelinus fontinalis
Sander canadensis
Stenodus leucichthys
Tinca tinca
